order_date,sales_region_code,item_code,first_cate_code,second_cate_code,sales_chan_name,item_price,ord_qty
2015/9/2,104,20028,301,405,offline,1005.0,11
2015/9/3,102,20354,303,401,offline,1420.0,64
2015/9/4,101,20586,306,407,offline,978.0,7
2015/9/4,101,20230,306,407,offline,864.0,66
2015/9/4,105,21619,306,402,online,274.0,102
2015/9/4,102,21610,306,407,offline,614.0,452
2015/9/4,101,21484,305,412,offline,307.0,69
2015/9/4,103,20283,306,407,offline,605.0,168
2015/9/4,102,21271,306,407,offline,471.0,153
2015/9/4,103,20591,302,408,offline,483.0,803
2015/9/4,103,20996,306,407,offline,434.0,1009
2015/9/4,102,21469,302,408,offline,423.0,9
2015/9/4,102,20283,306,407,offline,616.0,358
2015/9/4,103,21412,302,408,offline,678.0,97
2015/9/5,102,20092,306,407,offline,729.0,203
2015/9/5,104,21183,307,403,online,430.0,145
2015/9/5,105,21744,302,408,online,568.0,604
2015/9/5,102,20481,306,407,offline,497.0,103
2015/9/5,102,21519,303,401,offline,1024.0,53
2015/9/5,102,20594,303,401,offline,2087.0,13
2015/9/5,102,20518,305,412,offline,1061.0,18
2015/9/5,102,20964,306,407,offline,1328.0,23
2015/9/5,102,21858,306,407,offline,1117.0,23
2015/9/5,101,20283,306,407,offline,603.0,52
2015/9/5,103,21745,303,401,offline,1717.0,466
2015/9/5,101,21601,306,407,offline,533.0,1008
2015/9/5,102,21703,305,412,offline,410.0,57
2015/9/5,101,20973,306,407,offline,535.0,606
2015/9/6,103,20043,302,408,offline,1201.0,15
2015/9/6,103,21825,302,408,offline,862.0,57
2015/9/6,103,20174,303,401,offline,1662.0,39
2015/9/6,103,20973,306,407,offline,539.0,35
2015/9/6,102,20483,305,412,offline,311.0,59
2015/9/6,102,21745,303,401,offline,1714.0,16
2015/9/6,103,21271,306,407,offline,467.0,659
2015/9/6,104,20944,301,405,online,496.0,53
2015/9/6,105,20560,306,407,online,781.0,11
2015/9/6,102,20717,303,401,offline,2366.0,41
2015/9/6,102,20518,305,412,offline,1061.0,102
2015/9/6,105,21619,306,402,online,270.0,1207
2015/9/6,103,21271,306,407,offline,462.0,206
2015/9/6,102,20620,302,408,offline,1517.0,18
2015/9/6,102,21395,302,408,offline,906.0,13
2015/9/6,102,20026,302,408,offline,1603.0,13
2015/9/6,102,21601,306,407,offline,528.0,57
2015/9/6,102,20586,306,407,offline,964.0,28
2015/9/6,102,20230,306,407,offline,863.0,28
2015/9/6,102,22047,306,407,offline,1000.0,21
2015/9/6,101,22041,306,407,offline,802.0,33
2015/9/6,101,20092,306,407,offline,730.0,77
2015/9/6,101,20498,306,407,offline,677.0,165
2015/9/6,103,21271,306,407,offline,464.0,987
2015/9/6,101,20096,306,407,offline,950.0,66
2015/9/6,102,20283,306,407,offline,601.0,61
2015/9/6,103,20230,306,407,offline,865.0,22
2015/9/6,101,20996,306,407,offline,438.0,54
2015/9/6,101,20260,306,407,offline,615.0,52
2015/9/6,101,21271,306,407,offline,460.0,154
2015/9/6,101,20855,306,407,offline,1562.0,14
2015/9/6,101,21297,306,407,offline,1210.0,104
2015/9/6,101,21519,303,401,offline,1027.0,67
2015/9/6,101,21742,303,401,offline,3011.0,23
2015/9/7,101,21517,306,407,offline,853.0,9
2015/9/7,105,20637,306,407,online,1062.0,8
2015/9/7,105,20323,305,412,online,100.0,83
2015/9/7,105,20374,305,412,online,119.0,26
2015/9/7,102,20586,306,407,offline,968.0,34
2015/9/7,102,21819,306,402,offline,264.0,102
2015/9/7,102,22041,306,407,offline,808.0,106
2015/9/7,102,20586,306,407,offline,974.0,107
2015/9/7,102,20481,306,407,offline,504.0,151
2015/9/7,102,21542,306,407,offline,669.0,12
2015/9/7,102,20608,302,408,offline,1215.0,13
2015/9/7,102,20973,306,407,offline,547.0,302
2015/9/7,105,20657,303,410,offline,2999.0,13
2015/9/7,102,20230,306,407,offline,871.0,106
2015/9/7,102,20498,306,407,offline,683.0,102
2015/9/7,102,21819,306,402,offline,277.0,164
2015/9/7,103,21271,306,407,offline,471.0,151
2015/9/7,103,21619,306,402,offline,265.0,206
2015/9/7,103,21412,302,408,offline,665.0,601
2015/9/7,101,20594,303,401,offline,2084.0,10
2015/9/7,101,21742,303,401,offline,3004.0,3
2015/9/7,102,21858,306,407,offline,1115.0,7
2015/9/7,101,21162,306,407,offline,757.0,206
2015/9/7,102,20607,306,407,offline,723.0,104
2015/9/7,102,21412,302,408,offline,664.0,109
2015/9/8,104,22017,301,405,online,715.0,6
2015/9/8,104,20512,308,404,online,1485.0,35
2015/9/8,104,20003,301,405,online,733.0,28
2015/9/8,104,21181,308,404,online,610.0,67
2015/9/8,103,20895,306,407,offline,805.0,12
2015/9/8,103,21588,303,401,offline,1133.0,41
2015/9/8,102,21703,305,412,offline,417.0,35
2015/9/8,102,20586,306,407,offline,965.0,36
2015/9/8,102,20780,306,407,offline,937.0,11
2015/9/8,102,22041,306,407,offline,814.0,106
2015/9/8,102,20916,306,407,offline,488.0,59
2015/9/8,101,21052,303,401,offline,1501.0,105
2015/9/8,101,20174,303,401,offline,1661.0,19
2015/9/8,102,20977,302,408,offline,485.0,87
2015/9/8,102,21347,303,401,offline,1136.0,54
2015/9/8,101,20322,306,407,offline,754.0,58
2015/9/8,103,20092,306,407,offline,736.0,157
2015/9/8,101,21381,306,407,offline,1023.0,157
2015/9/8,102,21121,305,412,offline,251.0,43
2015/9/8,102,21271,306,407,offline,476.0,509
2015/9/9,102,22001,303,401,offline,1702.0,18
2015/9/9,102,21347,303,401,offline,1132.0,129
2015/9/9,102,22046,305,412,offline,1202.0,46
2015/9/9,102,20226,303,401,offline,938.0,106
2015/9/9,102,21869,306,407,offline,915.0,26
2015/9/9,103,20973,306,407,offline,533.0,459
2015/9/9,103,20092,306,407,offline,738.0,153
2015/9/9,103,20260,306,407,offline,618.0,108
2015/9/9,103,21003,306,407,offline,598.0,105
2015/9/9,103,20008,303,401,offline,662.0,12
2015/9/9,102,21003,306,407,offline,609.0,408
2015/9/9,104,20085,301,405,online,913.0,22
2015/9/9,104,20862,307,403,online,537.0,27
2015/9/9,104,21246,307,403,online,549.0,25
2015/9/9,104,21088,301,405,online,775.0,15
2015/9/9,105,20413,306,407,online,833.0,148
2015/9/9,104,20003,301,405,online,744.0,165
2015/9/9,102,20092,306,407,offline,738.0,207
2015/9/9,102,21442,302,408,offline,790.0,25
2015/9/9,102,21003,306,407,offline,598.0,105
2015/9/9,104,21183,307,403,online,440.0,34
2015/9/9,102,20230,306,407,offline,869.0,73
2015/9/9,102,20650,306,407,offline,732.0,307
2015/9/9,102,20996,306,407,offline,435.0,102
2015/9/9,101,20662,305,412,offline,211.0,56
2015/9/9,102,20895,306,407,offline,814.0,37
2015/9/9,102,21619,306,402,offline,265.0,505
2015/9/9,102,20189,305,412,offline,226.0,83
2015/9/9,103,21920,305,412,offline,764.0,43
2015/9/9,102,20323,305,412,offline,103.0,82
2015/9/9,102,21297,306,407,offline,1211.0,45
2015/9/9,103,21517,306,407,offline,846.0,6
2015/9/9,102,20855,306,407,offline,1573.0,15
2015/9/9,101,20260,306,407,offline,606.0,208
2015/9/9,101,20498,306,407,offline,680.0,401
2015/9/9,103,20694,305,412,offline,1411.0,22
2015/9/9,101,21239,306,407,offline,1213.0,36
2015/9/10,101,21381,306,407,offline,1011.0,53
2015/9/10,101,21187,303,401,offline,398.0,205
2015/9/10,104,22021,307,403,online,440.0,73
2015/9/10,105,21744,302,408,online,566.0,51
2015/9/10,103,20988,303,401,offline,502.0,103
2015/9/10,103,21362,302,408,offline,1086.0,151
